Year,Mortgage_Rate,Consumer_Inflation_Rate,House_Inflation_Rate_Colorado,House_Inflation_Rate_Denver,House_Inflation_Rate_Boulder,House_Inflation_Rate_USA,House_Inflation_Rate_Mountain,cluster
1999.75,7.82,2.629969418960254,9.854308187343586,12.072874493927133,12.512479201331118,6.134533396494568,6.040662061775048,0
2000.0,7.91,2.676399026763998,10.425682239689117,12.97465824606283,12.871693773615899,6.054672201770184,5.534314043159871,0
2000.25,8.24,3.762135922330101,12.409549807184028,15.216710999843542,15.751713018943981,6.445146866085882,5.230457110251696,0
2000.5,8.29,3.7349397590361377,11.757040773434223,14.405057575073377,16.245823945303385,6.761940579165104,5.832032469559789,0
2000.75,7.91,3.45649582836709,10.971888857247446,13.077089805649877,14.359656906240748,6.843710481291376,4.725619123701841,0
2001.0,7.38,3.4360189573459543,11.536769704482763,13.6286442117181,14.758751182592245,7.104874446085674,5.741479889468826,0
2001.25,6.95,2.9824561403508643,10.519215202559472,11.916887349765727,13.441047426701003,7.1123343231694,5.994698156404388,0
2001.5,7.16,3.193960511033689,10.023695791176124,10.880863101111782,11.248496190348867,6.862054389178529,5.923653312879806,0
2001.75,6.82,2.5921658986175045,9.234547987389119,9.833237492811975,10.784947627052887,6.962333774281149,5.550991667644656,0
2002.0,7.06,1.603665521191311,7.676036139394804,7.790509403412615,8.81476314287526,6.668045786788013,5.185830429732863,0
2002.25,7.01,1.3628620102214661,5.974469866071419,6.212838247785468,6.366259438885136,6.552167151261101,4.581367589382146,0
2002.5,6.65,1.0692177827799743,5.015041706549983,5.0904776030851195,5.094623009912902,6.955432489451474,4.35581796914164,0
2002.75,6.09,1.516002245929271,4.564217874282628,4.252472367655624,3.221664526672119,7.316279372518397,5.225706026239729,3
2003.0,6.05,2.4802705749718212,4.3751872939766345,4.067248252354272,3.654059094352813,7.744521300665852,5.736211560757476,3
2003.25,5.74,3.025210084033625,3.468816850419598,3.130355306751964,2.6030243564585165,7.526335829419972,5.483993695309519,3
2003.5,5.23,1.948775055679297,2.780038412708752,2.275165132953205,1.7321214199965684,7.3229365715342665,5.914064585001344,3
2003.75,6.15,2.378318584070782,1.7877202554803073,1.3726912560682925,0.7972407553997529,7.757627221447194,6.9632290786137085,3
2004.0,5.88,2.0352035203520247,2.3319615912208436,2.1873091656026133,0.781513549983126,7.883842323153556,6.996658312447779,3
2004.25,5.44,1.7400761283306032,2.8149750310124455,2.63099590118534,1.1531754514259918,8.516288951841355,8.414056059356966,3
2004.5,6.29,3.1676679410158393,3.1450923257213548,2.660631485979237,2.2252191503708607,9.896042731606446,11.207982663911697,3
2004.75,5.75,2.5391680172879516,4.152740114775821,3.588924973853702,3.634935771582426,9.895305639986507,12.461720833744927,3
2005.0,5.75,3.3423180592991875,3.9559822931604316,3.129244309230206,3.553695955369607,10.166286635893451,13.009955104431015,3
2005.25,5.93,3.2068412613575736,4.25999257517633,3.346106103945168,4.871538204871539,10.589003100016313,15.084834370989974,3
2005.5,5.58,2.541026998411855,5.002149481053841,3.8821378642864834,4.930738786279676,10.405560781854284,16.123623510218877,3
2005.75,5.77,4.741833508956805,5.134570554933249,3.73027259684362,4.7090663058186655,10.674042204466305,17.106592296543543,3
2006.0,6.27,3.3385498174230532,5.181875431073246,3.6980456197650335,3.6202995366878543,9.844010298349225,17.428102599533624,3
2006.25,6.32,3.4179181771103018,4.370790184267537,2.30299232335891,2.5983667409057,8.542342874004127,15.502787528391494,3
2006.5,6.68,4.1817243159525175,3.3630647755519716,1.4751552795031264,2.2840379276023004,6.338461538461537,11.683902439024397,3
2006.75,6.4,2.012072434607637,2.2835257868517367,0.34834281030684533,0.7443783923494429,3.69770455386893,7.26072607260726,3
2007.0,6.14,2.5239777889954462,2.1924447612259534,-0.08128016256032655,2.0016637204949506,2.169217335355489,5.777009634478181,2
2007.25,6.16,2.798197295943927,2.157843861943465,-0.20929045431342663,1.095720487905738,1.7579629377916683,3.7255532911437683,2
2007.5,6.66,2.692765113974227,1.9521855990946468,-0.438663606222911,1.3623559539052588,0.6276709401709546,2.540270449701243,2
2007.75,6.38,2.8338264299802685,0.8108108108108025,-1.9909132676501962,1.544460977987594,-1.0398536171732031,-0.03146853146852591,2
2008.0,6.1,4.108813392417532,0.17297176654391677,-1.982815598149379,1.6922371170803752,-3.490621204624167,-4.828784981748646,2
2008.25,5.97,3.9749035501344343,0.43692427573538417,-1.2021075246815838,2.632924335378317,-6.496282114074536,-7.042156423425594,2
2008.5,6.32,4.935966105947864,-0.4551130845011908,-1.8802192735283496,1.2834116517608907,-8.170758681707591,-10.522728821645199,2
2008.75,6.04,4.953319875136075,-1.8096514745308157,-2.244908588989014,0.9550277918140448,-9.578785965545233,-12.496939596376489,2
2009.0,5.29,-0.02222800255385904,-1.7935721049406772,-2.157788267026295,0.5914490501729208,-10.449778606385463,-13.668907071887782,2
2009.25,5.0,-0.4464787676623838,-0.4710446106954813,-0.10872941907423828,0.7422166874221814,-8.685714285714285,-14.973301690892903,2
2009.5,5.42,-1.2291746182109153,-1.4998187951269837,-0.5847953216374324,-0.17460713394861216,-6.4023509008575115,-12.552364993525778,2
2009.75,5.06,-1.377942862886472,-1.894197952218435,-0.7033248081841359,-1.126182491616201,-4.334164588528678,-10.3845231433368,2
2010.0,4.93,2.8141231232083674,-2.4190346548692676,-0.9860573609712042,-1.534705266829428,-1.977827512621655,-7.561140729457561,2
2010.25,4.97,2.2861714393279886,-5.3257238307349635,-3.768206085108594,-3.0557753164557,-2.310179390905287,-5.582206716092464,2
2010.5,4.74,1.1215605940686268,-4.862310021792659,-3.361344537815125,-2.3138430784607644,-2.2852437078593857,-5.800888424353278,2
2010.75,4.35,1.1183122472331775,-1.3277671479097752,0.34342133505043115,-0.030373595221222516,-3.3783431520775675,-6.311329170383573,2
2011.0,4.71,1.437793022217937,-1.5606382051207346,-0.06960432617659773,-0.1416932341480659,-3.9876811978973192,-6.934590561633181,2
2011.25,4.84,2.619241510354109,-2.890581350898336,-1.8313045351718182,-1.9585841069060472,-5.930710510863191,-9.3256351039261,2
2011.5,4.51,3.5023181506360412,-3.5222370965342753,-2.6956521739130435,-1.836598966593339,-4.656307611272059,-7.683772538141476,2
2011.75,4.11,3.812621692818685,-3.746033611470212,-2.9090909090909056,-2.025521571804745,-2.6817029083256894,-4.284694120447508,2
2012.0,3.96,3.062066838419386,-2.3884034010392186,-1.9234890698671125,-1.1706278822277372,-1.7310032076097714,-1.8591383041510978,2
2012.25,3.95,2.5828752813320977,-0.43301841085271464,0.10973334796444689,1.643949641036313,1.6853932584269593,3.7746421476236636,2
2012.5,3.68,1.653870448297634,1.6619900712281366,3.0663538873994645,1.5478424015009429,3.0385061598806606,9.299879807692314,3
2012.75,3.5,1.9497168982819613,2.280150178565976,3.370786516853941,2.305147818896014,3.687070303836748,9.743844814722703,3
