Year,CPI,HousingIndex_Colorado,HousingIndex_Denver,HousingIndex_Boulder,Mortgage_Rate,Consumer_Inflation_Rate,House_Inflation_Rate_Colorado,House_Inflation_Rate_Denver,House_Inflation_Rate_Boulder,CPI_monthly,HousingIndex_USA,HousingIndex_Mountain,Mortgage_Rate_monthly,Consumer_Inflation_Rate_monthly,House_Inflation_Rate_USA,House_Inflation_Rate_Mountain
2003.25,183.9,314.34,180.63,177.83,5.75,3.025210084033625,3.455766192733023,3.1228591002512074,2.5902849890388824,183.9,169.5,194.58,5.75,3.025210084033625,7.543937567413228,5.572133904834242
2003.5,183.1,315.7,181.27,178.02,5.23,1.948775055679297,2.7769638962138243,2.285295113418351,1.7489711934156382,183.1,172.29,197.02,5.23,1.948775055679297,7.325733507755561,5.964610337223686
2003.75,185.1,317.13,181.77,178.37,6.15,2.378318584070782,1.7910447761193993,1.3719257152417619,0.8594854396381191,185.1,176.24,201.67,6.15,2.378318584070782,7.752506725360719,7.020802377414559
2004.0,185.5,320.75,184.16,179.24,5.88,2.0352035203520247,2.325655586039699,2.186216846077005,0.7475689955595666,185.5,180.15,206.01,5.88,2.0352035203520247,7.958290885120145,7.107205989393783
2004.25,187.1,323.16,185.37,179.89,5.45,1.7400761283306032,2.8058789845390564,2.624148812489624,1.158409717145581,187.1,184.03,210.89,5.45,1.7400761283306032,8.572271386430685,8.382156439510723
2004.5,188.9,325.66,186.07,182.06,6.29,3.1676679410158393,3.1548938866012177,2.647983670767351,2.269407931693057,188.9,189.25,219.01,6.29,3.1676679410158393,9.84386789715015,11.16130342097248
2004.75,189.8,330.17,188.32,184.66,5.75,2.5391680172879516,4.111878409485081,3.6034549155526063,3.5263777541066244,189.8,193.64,226.68,5.75,2.5391680172879516,9.872900590104393,12.401447909951901
2005.0,191.7,333.38,189.93,185.74,5.75,3.3423180592991875,3.9376461418550335,3.1331450912250203,3.6264226735103877,191.7,198.61,232.86,5.75,3.3423180592991875,10.247016375242858,13.033347895733227
2005.25,193.1,336.89,191.61,188.86,5.93,3.2068412613575736,4.24866938977595,3.366240491988992,4.986380565901394,193.1,203.5,242.82,5.93,3.2068412613575736,10.579796772265393,15.140594622789138
2005.5,193.7,341.84,193.22,190.89,5.58,2.541026998411855,4.968371921636039,3.842639866716824,4.850049434252446,193.7,208.8,254.11,5.58,2.541026998411855,10.330250990752976,16.026665449066257
2005.75,198.8,347.19,195.35,193.51,5.77,4.741833508956805,5.154920192628043,3.733007646559039,4.7925917903173465,198.8,214.35,265.55,5.77,4.741833508956805,10.695104317289816,17.14752073407446
2006.0,198.1,350.58,196.95,192.51,6.27,3.3385498174230532,5.159277701121834,3.696098562628336,3.6448799397006404,198.1,218.27,273.76,6.27,3.3385498174230532,9.89879663662454,17.564201666237224
2006.25,199.7,351.61,196.02,193.46,6.32,3.4179181771103018,4.369378728961992,2.3015500234851993,2.4356666313671393,199.7,220.9,280.7,6.32,3.4179181771103018,8.550368550368548,15.600032946215304
2006.5,201.8,353.46,196.15,195.5,6.68,4.1817243159525175,3.399251111631174,1.516406169133644,2.4150034051024116,201.8,221.88,283.33,6.68,4.1817243159525175,6.2643678160919425,11.498957144543699
2006.75,202.8,355.01,195.92,194.83,6.4,2.012072434607637,2.2523690198450463,0.291783977476312,0.6821352901658972,202.8,222.31,284.78,6.4,2.012072434607637,3.713552600886394,7.241574091508185
2007.0,203.1,358.36,196.81,196.19,6.14,2.5239777889954462,2.2191796451594525,-0.07108403148006204,1.9115890083632125,203.1,223.29,290.04,6.14,2.5239777889954462,2.2999037888853158,5.946814728229111
2007.25,205.288,359.21,195.62,196.0,6.16,2.798197295943927,2.1614857370381824,-0.2040608101214203,1.3129329060270756,205.288,225.01,292.09,6.16,2.798197295943927,1.8605703938433527,4.057712860705376
2007.5,207.234,360.19,195.28,197.9,6.66,2.692765113974227,1.9040344027612788,-0.4435381085903689,1.2276214833759624,207.234,223.09,290.28,6.66,2.692765113974227,0.5453398233279394,2.4529700349415817
2007.75,208.547,357.85,192.07,197.96,6.38,2.8338264299802685,0.7999774654235292,-1.9650877909350717,1.6065287686701124,208.547,220.16,285.05,6.38,2.8338264299802685,-0.9671179883945835,0.09481002879416778
2008.0,211.445,358.74,192.82,199.62,6.1,4.108813392417532,0.10603862038174316,-2.0273360093491233,1.7483052143330458,211.445,215.71,276.34,6.1,4.108813392417532,-3.394688521653444,-4.723486415666822
2008.25,213.448,360.66,193.22,200.82,5.97,3.9749035501344343,0.40366359511150307,-1.226868418362137,2.4591836734693784,213.448,210.69,271.48,5.97,3.9749035501344343,-6.364161592818096,-7.056044369885983
2008.5,217.463,358.5,191.62,200.39,6.32,4.935966105947864,-0.4691968127932489,-1.8742318721835294,1.2582112177867533,217.463,204.71,259.52,6.32,4.935966105947864,-8.238827379084668,-10.59666528868678
2008.75,218.877,351.47,187.75,199.82,6.04,4.953319875136075,-1.7828699175632234,-2.2491799864632678,0.9395837542937935,218.877,198.98,249.77,6.04,4.953319875136075,-9.620276162790697,-12.376776004209788
2009.0,211.398,352.51,188.77,200.71,5.33,-0.02222800255385904,-1.7366337737637294,-2.1004045223524392,0.546037471195282,211.398,193.25,238.91,5.33,-0.02222800255385904,-10.412127393259475,-13.544908446117098
2009.25,212.495,359.03,193.01,202.24,5.0,-0.4464787676623838,-0.45194920423669016,-0.10868440120070932,0.7071008863658967,212.495,192.81,231.26,5.0,-0.4464787676623838,-8.486401822582945,-14.815087667599835
