Year,CPI,HousingIndex_Colorado,HousingIndex_Denver,HousingIndex_Boulder,Mortgage_Rate,Consumer_Inflation_Rate,House_Inflation_Rate_Colorado,House_Inflation_Rate_Denver,House_Inflation_Rate_Boulder
1997.75,161.2,210.77,115.52,112.92,7.43,2.21940393151554,5.437718859429719,6.0887133804756965,5.414488424197161
1998.0,161.8,214.05,117.39,114.89,7.1,1.6970458830924073,5.625462620281274,6.196851818346305,4.5500045500045605
1998.25,162.0,217.06,119.0,116.47,7.13,1.3767209011263937,5.9915034913814225,6.183635227982509,5.93960342004729
1998.5,162.8,219.69,120.76,117.46,7.0,1.6229712858926382,5.900216919739698,6.284104911107202,5.4966768456978565
1998.75,163.5,223.69,123.52,120.21,6.72,1.4267990074441794,6.129904635384542,6.9252077562326875,6.455897980871406
1999.0,164.4,226.42,125.13,121.81,6.72,1.606922126081578,5.779023592618526,6.593406593406592,6.023152580729385
1999.25,164.8,230.81,127.89,124.16,7.04,1.7283950617283939,6.334654012715379,7.470588235294118,6.6025585987808055
1999.5,166.0,237.89,132.91,128.83,7.55,1.9656019656019597,8.284400746506426,10.061278569062605,9.679891026732523
1999.75,167.8,245.74,138.5,135.16,7.82,2.629969418960254,9.85739192632662,12.127590673575138,12.436569336993596
2000.0,168.8,250.0,141.37,137.38,7.91,2.676399026763998,10.41427435738893,12.97850235754816,12.782201789672442
2000.25,171.0,259.43,147.29,143.64,8.24,3.762135922330101,12.399809367011837,15.169286105246682,15.689432989690722
2000.5,172.2,265.82,152.08,149.67,8.29,3.7349397590361377,11.740720501071934,14.423293958317673,16.176356438717665
2000.75,173.6,272.76,156.57,154.8,7.91,3.45649582836709,10.995360950598187,13.046931407942242,14.530926309559057
2001.0,174.6,278.87,160.61,157.78,7.38,3.4360189573459543,11.548000000000002,13.609676734809373,14.849323045567054
2001.25,176.1,286.68,164.87,162.96,6.95,2.9824561403508643,10.50379678525999,11.935637178355641,13.450292397660846
2001.5,177.7,292.51,168.62,166.47,7.16,3.193960511033689,10.040628997065681,10.875854813256169,11.224694327520556
2001.75,178.1,297.91,171.96,171.35,6.82,2.5921658986175045,9.220560199442751,9.829469246982182,10.691214470284226
2002.0,177.4,300.33,173.19,171.69,7.07,1.603665521191311,7.695341915587894,7.832638067368158,8.816073013056158
2002.25,178.5,303.84,175.16,173.34,7.01,1.3628620102214661,5.985768103809108,6.241281009280031,6.369661266568483
2002.5,179.6,307.17,177.22,174.96,6.65,1.0692177827799743,5.011794468565189,5.10022535879493,5.100018021265096
2002.75,180.8,311.55,179.31,176.85,6.09,1.516002245929271,4.57856399583767,4.27424982554081,3.209804493726298
2003.0,181.8,313.46,180.22,177.91,6.05,2.4802705749718212,4.37185762328105,4.059125815578257,3.622808550294132
2003.25,183.9,314.34,180.63,177.83,5.75,3.025210084033625,3.455766192733023,3.1228591002512074,2.5902849890388824
2003.5,183.1,315.7,181.27,178.02,5.23,1.948775055679297,2.7769638962138243,2.285295113418351,1.7489711934156382
2003.75,185.1,317.13,181.77,178.37,6.15,2.378318584070782,1.7910447761193993,1.3719257152417619,0.8594854396381191
2004.0,185.5,320.75,184.16,179.24,5.88,2.0352035203520247,2.325655586039699,2.186216846077005,0.7475689955595666
2004.25,187.1,323.16,185.37,179.89,5.45,1.7400761283306032,2.8058789845390564,2.624148812489624,1.158409717145581
2004.5,188.9,325.66,186.07,182.06,6.29,3.1676679410158393,3.1548938866012177,2.647983670767351,2.269407931693057
2004.75,189.8,330.17,188.32,184.66,5.75,2.5391680172879516,4.111878409485081,3.6034549155526063,3.5263777541066244
2005.0,191.7,333.38,189.93,185.74,5.75,3.3423180592991875,3.9376461418550335,3.1331450912250203,3.6264226735103877
2005.25,193.1,336.89,191.61,188.86,5.93,3.2068412613575736,4.24866938977595,3.366240491988992,4.986380565901394
2005.5,193.7,341.84,193.22,190.89,5.58,2.541026998411855,4.968371921636039,3.842639866716824,4.850049434252446
2005.75,198.8,347.19,195.35,193.51,5.77,4.741833508956805,5.154920192628043,3.733007646559039,4.7925917903173465
2006.0,198.1,350.58,196.95,192.51,6.27,3.3385498174230532,5.159277701121834,3.696098562628336,3.6448799397006404
2006.25,199.7,351.61,196.02,193.46,6.32,3.4179181771103018,4.369378728961992,2.3015500234851993,2.4356666313671393
2006.5,201.8,353.46,196.15,195.5,6.68,4.1817243159525175,3.399251111631174,1.516406169133644,2.4150034051024116
2006.75,202.8,355.01,195.92,194.83,6.4,2.012072434607637,2.2523690198450463,0.291783977476312,0.6821352901658972
2007.0,203.1,358.36,196.81,196.19,6.14,2.5239777889954462,2.2191796451594525,-0.07108403148006204,1.9115890083632125
2007.25,205.288,359.21,195.62,196.0,6.16,2.798197295943927,2.1614857370381824,-0.2040608101214203,1.3129329060270756
2007.5,207.234,360.19,195.28,197.9,6.66,2.692765113974227,1.9040344027612788,-0.4435381085903689,1.2276214833759624
2007.75,208.547,357.85,192.07,197.96,6.38,2.8338264299802685,0.7999774654235292,-1.9650877909350717,1.6065287686701124
2008.0,211.445,358.74,192.82,199.62,6.1,4.108813392417532,0.10603862038174316,-2.0273360093491233,1.7483052143330458
2008.25,213.448,360.66,193.22,200.82,5.97,3.9749035501344343,0.40366359511150307,-1.226868418362137,2.4591836734693784
2008.5,217.463,358.5,191.62,200.39,6.32,4.935966105947864,-0.4691968127932489,-1.8742318721835294,1.2582112177867533
2008.75,218.877,351.47,187.75,199.82,6.04,4.953319875136075,-1.7828699175632234,-2.2491799864632678,0.9395837542937935
2009.0,211.398,352.51,188.77,200.71,5.33,-0.02222800255385904,-1.7366337737637294,-2.1004045223524392,0.546037471195282
2009.25,212.495,359.03,193.01,202.24,5.0,-0.4464787676623838,-0.45194920423669016,-0.10868440120070932,0.7071008863658967
2009.5,214.79,353.17,190.52,200.14,5.42,-1.2291746182109153,-1.4867503486750255,-0.574052812858783,-0.12475672438744256
2009.75,215.861,344.85,186.48,197.65,5.06,-1.377942862886472,-1.88351779668251,-0.6764314247669878,-1.0859773796416672
2010.0,217.347,343.92,186.86,197.73,4.93,2.8141231232083674,-2.4368103032538,-1.0118133177941413,-1.4847292112998955
2010.25,217.353,340.04,185.73,196.15,4.97,2.2861714393279886,-5.289251594574251,-3.771825294026221,-3.011273734177222
2010.5,217.199,336.09,184.12,195.41,4.74,1.1215605940686268,-4.83619786505084,-3.3592273777031334,-2.363345658039373
2010.75,218.275,340.29,187.12,197.59,4.35,1.1183122472331775,-1.3223140495867813,0.343200343200345,-0.030356691120669854
2011.0,220.472,338.8,186.75,197.44,4.71,1.437793022217937,-1.4887183065829257,-0.05886760141282643,-0.14666464370606258
2011.25,223.046,330.22,182.38,192.15,4.84,2.619241510354109,-2.887895541700969,-1.8036935336240734,-2.0392556716798405
2011.5,224.806,324.41,179.2,191.98,4.51,3.5023181506360412,-3.4752596030824923,-2.672170323701939,-1.7552837623458384
2011.75,226.597,327.7,181.67,193.56,4.11,3.812621692818685,-3.699785477093076,-2.9125694741342523,-2.0395769016650633
2012.0,227.223,330.64,183.17,195.09,3.96,3.062066838419386,-2.408500590318774,-1.9170013386880957,-1.1902350081037238
2012.25,228.807,328.88,182.59,195.47,3.95,2.5828752813320977,-0.4057900793410507,0.11514420440839057,1.7278168097840219
2012.5,228.524,329.73,184.66,194.9,3.68,1.653870448297634,1.6399001263832869,3.0468750000000044,1.5209917699760434
2012.75,231.015,335.13,187.78,197.98,3.5,1.9497168982819613,2.2673176685993335,3.3632410414487834,2.283529654887362
2013.0,231.221,338.17,190.04,199.15,3.35,1.7595049796895523,2.2774014033389856,3.750614183545342,2.0810907786150024
