Year,Mortgage_Rate,Consumer_Inflation_Rate
1979.0833333333333,10.39,9.250398724082931
1979.1666666666667,10.41,9.84126984126985
1979.25,10.43,10.252365930599371
1979.3333333333333,10.5,10.485133020344284
1979.4166666666667,10.69,10.697674418604652
1979.5,11.04,11.076923076923073
1979.5833333333333,11.09,11.45038167938932
1979.6666666666667,11.09,11.836115326251884
1979.75,11.3,11.879699248120312
1979.8333333333333,11.64,12.071535022354718
1979.9166666666667,12.83,12.592592592592599
1980.0,12.9,13.254786450662737
1980.0833333333333,12.88,13.868613138686126
1980.1666666666667,13.04,14.161849710982644
1980.25,15.28,14.592274678111572
1980.3333333333333,16.33,14.589235127478762
1980.4166666666667,14.26,14.425770308123242
1980.5,12.71,14.265927977839322
1980.5833333333333,12.19,13.15068493150684
1980.6666666666667,12.56,12.890094979647216
1980.75,13.2,12.768817204301076
1980.8333333333333,13.79,12.632978723404253
1980.9166666666667,14.21,12.631578947368416
1981.0,14.79,12.353706111833551
1981.0833333333333,14.9,11.794871794871797
1981.1666666666667,15.13,11.392405063291132
1981.25,15.4,10.611735330836458
1981.3333333333333,15.58,10.135970333745359
1981.4166666666667,16.4,9.79192166462668
1981.5,16.7,9.696969696969692
1981.5833333333333,16.83,10.774818401937058
1981.6666666666667,17.29,10.817307692307686
1981.75,18.16,10.96543504171632
1981.8333333333333,18.45,10.271546635182993
1981.9166666666667,17.83,9.579439252336464
1982.0,16.92,8.912037037037024
1982.0833333333333,17.4,8.25688073394495
1982.1666666666667,17.6,7.613636363636367
1982.25,17.16,6.884875846501148
1982.3333333333333,16.89,6.621773288439958
1982.4166666666667,16.68,6.911928651059096
1982.5,16.7,7.182320441988943
1982.5833333333333,16.82,6.557377049180335
1982.6666666666667,16.27,5.965292841648595
1982.75,15.43,4.940923737916236
1982.8333333333333,14.61,5.032119914346889
1982.9166666666667,13.83,4.47761194029852
1983.0,13.62,3.825717321997879
1983.0833333333333,13.25,3.7076271186440746
1983.1666666666667,13.04,3.484688489968324
1983.25,12.8,3.5902851108764455
1983.3333333333333,12.78,4.0000000000000036
1983.4166666666667,12.63,3.44108446298228
1983.5,12.87,2.4742268041237248
1983.5833333333333,13.42,2.358974358974364
1983.6666666666667,13.81,2.456499488229258
1983.75,13.73,2.763561924257929
1983.8333333333333,13.54,2.752293577981657
1983.9166666666667,13.44,3.1632653061224536
1984.0,13.42,3.7871033776867957
1984.0833333333333,13.37,4.290091930541351
1984.1666666666667,13.23,4.693877551020398
1984.25,13.39,4.892966360856277
1984.3333333333333,13.65,4.5546558704453455
1984.4166666666667,13.94,4.3346774193548265
1984.5,14.42,4.325955734406439
1984.5833333333333,14.67,4.308617234468937
1984.6666666666667,14.47,4.295704295704317
1984.75,14.35,4.2828685258964105
1984.8333333333333,14.13,4.265873015873023
1984.9166666666667,13.64,4.154302670623156
1985.0,13.18,4.043392504930954
1985.0833333333333,13.08,3.52595494613126
1985.1666666666667,12.92,3.6062378167641462
1985.25,13.17,3.790087463556846
1985.3333333333333,13.2,3.581800580832528
1985.4166666666667,12.91,3.5748792270531515
1985.5,12.22,3.6644165863066513
